AKUN/DESKRIPSI,TANGGAL,DESKRIPSI KEGIATAN,REALISASI (RP)
612403103/RMH TANGGA,07/03/2022,PEMB HAND SANITIZER KANTOR,600000
612412101/BIAYA JAMUAN KANTOR,22/02/2022,JAMUAN INTERNAL (PARCEL BUAH KARY COVID 3 ORANG ),600000
612412101/BIAYA JAMUAN KANTOR,25/02/2022,JAMUAN INTERNAL,567600
612412101/BIAYA JAMUAN KANTOR,01/03/2022,JAMUAN INTERNAL,200000
612412101/BIAYA JAMUAN KANTOR,02/03/2022,JAMUAN INTERNAL R.RAPAT,486200
612412101/BIAYA JAMUAN KANTOR,04/03/2022,JAMUAN INTERNAL,105000
612412101/BIAYA JAMUAN KANTOR,07/03/2022,JAMUAN INTERNAL,315500
"612414101/BBM ,TOL, PARKIR",11/03/2022,BBM MOBIL DINAS,400000
612412101/BIAYA JAMUAN KANTOR,08/03/2022,JAMUAN INTERNAL (PARCEL BUAH KARY COVID-19),200000
612412101/BIAYA JAMUAN KANTOR,10/03/2022,JAMUAN INTERNAL ,605000
612412101/BIAYA JAMUAN KANTOR,10/03/2022,JAMUAN TAMU DINAS,170000
612415103/RETRIBUSI & KEBERSIHAN,11/03/2022,DANA BANTUAN SOSIAL BULAN MARET 2022,100000
612403103/RMH TANGGA,11/03/2022,PEMB AQUA GALON AIR MINUM KARYAWAN,192000
612401102/BEBAN FOTOCOPY,14/03/2022,"JILID, LAMINATING LAPORAN KEUANGAN BULAN FEBRUARI 2022",45000
"612414101/BBM ,TOL, PARKIR",18/03/2022,BBM MOBIL DINAS,300000
612415103/RETRIBUSI & KEBERSIHAN,15/03/2022,RETRIBUSI SAMPAH GEDUNG KANTOR BULAN MARET 2022,300000
612203106/BBN DATA LYN PESERTA,17/03/2022,PEMB JAMUAN PESERTA ( AQUA GELAS ),432000
612408101/BBN PEM KTR,16/03/2022,PEMB LAMPU R.LAYANAN LT.1  & R. AULA LT 3,109900
612408101/BBN PEM KTR,16/03/2022,"PEMB PERLENGKAPAN PERBAIKAN ATAP GEDUNG KANTOR ( PAKU, AQUAPROOF,KUAS )",85000
612408102/BIAYA PEM RMH DINAS,15/03/2022,PEMB LAMPU RUMAH DINAS,139500
612403103/RMH TANGGA,14/03/2022,PEMB SAMBUNGAN KABEL,99000
612403103/RMH TANGGA,16/03/2022,PEMB KARTU NAMA MANAGER LAYANAN & MANFAAT,60000
612403103/RMH TANGGA,17/03/2022,PEMB GELAS PLASTIK,20000
612401102/BEBAN FOTOCOPY,18/03/2022,PRINT KONTRAK KERJA BRANCH MANAGER,20000
"612403101/TELPON,INTERNET,FASIMILI",21/03/2022,PEMB PULSA HP OPERASIONAL LAYANAN,62000
612412101/BIAYA JAMUAN KANTOR,21/03/2022,PEMB JAMUAN INTERNAL,67000
612412101/BIAYA JAMUAN KANTOR,23/03/2022,PEMB JAMUAN INTERNAL,136000
612412101/BIAYA JAMUAN KANTOR,23/03/2022,PEMB JAMUAN INTERNAL,34000
612403103/RMH TANGGA,22/03/2022,PEMB MASKER KANTOR,35000
612403103/RMH TANGGA,22/03/2022,PEMB AQUA GALON AIR MINUM KARYAWAN,288000
612403103/RMH TANGGA,01/04/2022,PEMB AQUA GALON AIR MINUM KARYAWAN,240000
612401102/BEBAN FOTOCOPY,01/04/2022,PRINT PENGUMUMAN JAM KERJA SELAMA BULAN RAMADHAN,20000
612401102/BEBAN FOTOCOPY,02/04/2022,"JILID,LAMINATING LAPORAN PKBL BULAN MARET 2022",29000
612401102/BEBAN FOTOCOPY,04/04/2022,"JILID,LAMINATING LAPORAN KEUANGAN BULAN MARET 2022",39000
612401102/BEBAN FOTOCOPY,05/04/2022,PRINT RUANG LINGKUP ISO 9001 : 2015,240000
612401102/BEBAN FOTOCOPY,06/04/2022,"JILID, LAMINATING PKS SIMGAJI DENGAN PEMDA KOTA DEPOK",24000
612408101/BBN PEM KTR,30/03/2022,PEMB OBAT PEMBASMI HAMA RUMPUT LIAR TAMAN ,150000
612408101/BBN PEM KTR,28/03/2022,PEMB LAMPU R.LAYANAN,199800
612408101/BBN PEM KTR,30/03/2022,PEMB PERLENGKAPAN KERAN AIR TOILET R.LAYANAN LT 1,90000
"612414101/BBM ,TOL, PARKIR",22/03/2022,BBM MOTOR DINAS,15000
"612414101/BBM ,TOL, PARKIR",25/03/2022,BBM MOBIL DINAS,350000
612208201/PEM SOFTWARE & HARDWARE,28/03/2022,PEMB PERLENGKAPAN KABEL PC KARYAWAN LT.1,60000
"612403101/TELPON,INTERNET,FASIMILI",01/04/2022,PEMB PULSA AO BULAN APRIL 2022,250000
612408101/BBN PEM KTR,08/04/2022,PEMB OBAT OBATAN KEBERSIHAN KANTOR,426075
612408101/BBN PEM KTR,08/04/2022,PEMB ALAT KEBERSIHAN KANTOR,794000
612408101/BBN PEM KTR,08/04/2022,PEMB OBAT OBATAN KEBERSIHAN KANTOR,1269675
"612414101/BBM ,TOL, PARKIR",28/03/2022,BBM MOBIL DINAS,300000
"612414101/BBM ,TOL, PARKIR",28/03/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",28/03/2022,BBM MOBIL DINAS,300000
"612414101/BBM ,TOL, PARKIR",28/03/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",28/03/2022,BBM MOBIL DINAS ,300000
"612414101/BBM ,TOL, PARKIR",07/04/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",11/04/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",11/04/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",11/04/2022,BBM MOBIL DINAS ,200000
"612414101/BBM ,TOL, PARKIR",11/04/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",11/04/2022,BBM MOBIL DINAS,400000
612403103/RMH TANGGA,30/03/2022,"PEMB GELAS , GARPU,PIRING PLASTIK",47000
612403103/RMH TANGGA,08/04/2022,"PEMB KOPI,GULA,TEH",510000
612412101/BIAYA JAMUAN KANTOR,28/03/2022,PEMB JAMUAN INTERNAL,200000
612412101/BIAYA JAMUAN KANTOR,30/03/2022,PEMB JAMUAN INTERNAL,250000
612412101/BIAYA JAMUAN KANTOR,09/04/2022,PEMB JAMUAN INTERNAL,108800
612408103/PEM KNDRAAN,05/04/2022,"PEMB OLI, PAD SET MOTOR DINAS ",114000
612408103/PEM KNDRAAN,05/04/2022,SERVICE MOTOR DINAS ,125000
612408103/PEM KNDRAAN,06/04/2022,"PEMB OLI,PAD SET,PAD SET MOTOR DINAS ",165000
612408103/PEM KNDRAAN,06/04/2022,SERVICE MOTOR DINAS ,155000
612408103/PEM KNDRAAN,08/04/2022,PEMB BRAKE CALLIPER MOBIL DINAS,42584
612415103/RETRIBUSI & KEBERSIHAN,08/04/2022,PEMB DANA BANTUAN SOSIAL BULAN APRIL 2022,100000
"612403101/TELPON,INTERNET,FASIMILI",08/04/2022,PEMB PULSA HP OPERASIONAL LAYANAN,62000
"612414101/BBM ,TOL, PARKIR",31/03/2022,PEMB BBM MOBIL DINAS KC DEPOK ,200000
"612414101/BBM ,TOL, PARKIR",05/04/2022,PEMB BBM MOBIL DINAS KC DEPOK ,100000
"612414101/BBM ,TOL, PARKIR",06/04/2022,PEMB BBM MOBIL DINAS KC DEPOK ,100000
"612414101/BBM ,TOL, PARKIR",11/04/2022,PEMB BBM MOTOR DINAS,20000
612401102/BEBAN FOTOCOPY,06/04/2022,JILID LAPORAN KEUANGAN BULAN MARET 2022 KC DEPOK,22000
612401102/BEBAN FOTOCOPY,12/04/2022,PRINT CORE VALUES AKHLAK,80000
612403103/RMH TANGGA,11/04/2022,PEMB MATERAI,500000
612402101/BBN BIAYA KIRIM,31/03/2022,TAGIHAN JNE BULAN MARET  2022,3915619
"612414101/BBM ,TOL, PARKIR",12/04/2022,BBM MOTOR DINAS ,25000
"612414101/BBM ,TOL, PARKIR",12/04/2022,BBM MOTOR DINAS,20000
"612414101/BBM ,TOL, PARKIR",14/04/2022,BBM MOBIL DINAS,200000
"612414101/BBM ,TOL, PARKIR",18/04/2022,BBM MOTOR DINAS,25000
"612414101/BBM ,TOL, PARKIR",18/04/2022,BBM MOBIL DINAS ,50000
612203106/BEBAN LAY PESERTA,19/04/2022,PEMB PAJAK MOBIL LAYANAN TASPEN (MOTAS) KC DEPOK,3721800
612203106/BEBAN LAY PESERTA,19/04/2022,ASURANSI PENGEMUDI PENUMPANG MOTAS,72000
612409101/PAJAK KENDARAAN DINAS,14/04/2022,PEMB PAJAK MOTOR DINAS,273000
612403103/RMH TANGGA,19/04/2022,PEMB AQUA AIR MINUM KARYAWAN,258400
612412101/BIAYA JAMUAN KANTOR,12/04/2022,JAMUAN INTERNAL,1013000
612412101/BIAYA JAMUAN KANTOR,18/04/2022,JAMUAN EKSTERNAL - BKAD KOTA BOGOR,745000
612412101/BIAYA JAMUAN KANTOR,20/04/2022,JAMUAN INTERNAL,891000
612408102/BIAYA PEM RMH DINAS,11/04/2022,PEMB LAUNDRY GORDEN RUMAH DINAS,200000
"612403101/TELPON,INTERNET,FASIMILI",20/04/2022,PEMB PULSA HP OPERASIONAL LAYANAN,62000
"612414101/BBM ,TOL, PARKIR",21/04/2022,PARKIR MOBIL DINAS ,4000
"612414101/BBM ,TOL, PARKIR",22/04/2022,PARKIR MOBIL DINAS ,8000
612415103/RETRIBUSI & KEBERSIHAN,19/04/2022,PEMB RETRIBUSI KEBERSIHAN RUMAH DINAS KC DEPOK BULAN APRIL-JUNI 2022,1140000
612415103/RETRIBUSI & KEBERSIHAN,22/04/2022,PEMB RETRIBUSI KEBERSIHAN GEDUNG KANTOR BULAN APRIL 2022,300000
612415103/RETRIBUSI & KEBERSIHAN,25/04/2022,PEMB RETRIBUSI KEBERSIHAN RUMAH DINAS BULAN APRIL 2022,300000
612408104/PEM INV KTR,25/04/2022,PEMB KEPALA AKI GENSET KANTOR,40000
612403103/RMH TANGGA,26/04/2022,PRINT FOTO KEPALA CABANG BOGOR,80000
612403103/RMH TANGGA,26/04/2022,PEMB BINGKAI FOTO KEPALA CABANG BOGOR,100000
612208201/PEMELIHARAAN SOFTWARE/HARDWARE,08/04/2022,PEMB USB LAN LAPTOP MANAGER LAYANAN,145000
612408101/BBN PEM KTR,26/04/2022,PEMB OBAT PEMBASMI HAMA RUMPUT LIAR TAMAN & PUPUK TANAMAN HALAMAN GEDUNG KANTOR,625000
"612414101/BBM ,TOL, PARKIR",21/04/2022,BBM MOBIL DINAS KC DEPOK ,150000
"612414101/BBM ,TOL, PARKIR",22/04/2022,BBM MOTOR DINAS KC DEPOK,20000
"612414101/BBM ,TOL, PARKIR",22/04/2022,BBM MOTOR DINAS,20000
"612414101/BBM ,TOL, PARKIR",22/04/2022,BBM MOBIL DINAS,300000
"612414101/BBM ,TOL, PARKIR",22/04/2022,BBM MOBIL DINAS,250000
"612414101/BBM ,TOL, PARKIR",22/04/2022,BBM MOBIL DINAS ,350000
"612414101/BBM ,TOL, PARKIR",25/04/2022,BBM GENSET GEDUNG KANTOR,200000
"612414101/BBM ,TOL, PARKIR",26/04/2022,BBM MOTOR DINAS,20000
"612414101/BBM ,TOL, PARKIR",26/04/2022,BBM MOBIL DINAS,300000
612403103/RMH TANGGA,21/04/2022,"PEMB GELAS,MANGKOK, SENDOK PLASTIK",120000
612412101/BIAYA JAMUAN KANTOR,26/04/2022,JAMUAN INTERNAL,520000
612412101/BIAYA JAMUAN KANTOR,26/04/2022,JAMUAN INTERNAL,150000
612413102/BEBAN PERAYAAN,15/04/2022,CETAK BANNER HUT TASPEN KE-59 UNIT LAYANAN DEPOK,350000
612413102/BEBAN PERAYAAN,15/04/2022,PEMB BALON HIAS DEKORASI HUT TASPEN KE-59 UNIT LAYANAN DEPOK,155000
612413102/BEBAN PERAYAAN,16/04/2022,CETAK BANNER HUT TASPEN KE-59 KC BOGOR,380000
612413102/BEBAN PERAYAAN,17/04/2022,PEMB BALON HIAS DEKORASI HUT TASPEN KE-59 KC BOGOR,153000
612413102/BEBAN PERAYAAN,17/04/2022,"PEMB BALON , LEM ,DLL DEKORASI HUT TASPEN KE-59 KC BOGOR",36500
612413102/BEBAN PERAYAAN,17/04/2022,PEMB BALON HIAS DEKORASI HUT TASPEN KE-59 KC BOGOR,346000
612413102/BEBAN PERAYAAN,18/04/2022,PEMBUATAN STEMPEL HUT TASPEN KE-59,65000
"612414101/BBM ,TOL, PARKIR",21/04/2022,BBM MOBIL DINAS UNIT LAYANAN DEPOK ,150000
"612414101/BBM ,TOL, PARKIR",26/04/2022,BBM MOTOR DINAS UNIT LAYANAN DEPOK,20000
"612414101/BBM ,TOL, PARKIR",27/04/2022,BBM MOBIL DINAS,300000
"612414101/BBM ,TOL, PARKIR",27/04/2022,BBM MOBIL DINAS ,300000
"612414101/BBM ,TOL, PARKIR",28/04/2022,BBM MOBIL DINAS UNIT LAYANAN DEPOK ,200000
"612414101/BBM ,TOL, PARKIR",11/05/2022,TOL MOBIL DINAS ,9000
"612414101/BBM ,TOL, PARKIR",11/05/2022,TOL MOBIL DINAS ,21000
612403103/RMH TANGGA,25/04/2022,PEMB GAS PANTRY UNIT DEPOK,195000
612403103/RMH TANGGA,11/05/2022,PEMB AQUA GALON AIR MINUM KARYAWAN,306850
612412101/BIAYA JAMUAN KANTOR,28/04/2022,JAMUAN INTERNAL,280000
612412101/BIAYA JAMUAN KANTOR,11/05/2022,JAMUAN INTERNAL,400000
612203106/BEBAN LAY PESERTA,26/04/2022,BBM MOTAS ,200000
612401102/BEBAN FOTOCOPY,26/04/2022,PRINT PKS SIMGAJI WEB PEMDA KAB BOGOR KERTAS CONCORDE,87500
612401102/BEBAN FOTOCOPY,10/05/2022,"JILID, LAMINATING LAPORAN KEUANGAN BULAN APRIL 2022 KC BOGOR & UNIT LAYANAN DEPOK",93000
612401102/BEBAN FOTOCOPY,11/05/2022,"JILID, LAMINATING LAPORAN KEUANGAN PKBL BULAN APRIL 2022 KC BOGOR",28000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,19/04/2022,CETAK BANNER HUT KOTA DEPOK ,102000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,11/05/2022,CETAK ROLLUP BANNER PUBILKASI MEDIA LUAR RUANG PEMDA & INSTANSI WILAYAH KERJA TASPEN BOGOR,1440000
"612403101/TELPON,INTERNET,FASIMILI",10/05/2022,PEMB PULSA AO KC BOGOR BULAN MEI 2022,250000
"612403101/TELPON,INTERNET,FASIMILI",10/05/2022,PEMB PULSA AO UNIT LAYANAN DEPOK BULAN MEI 2022,250000
"612414101/BBM ,TOL, PARKIR",12/05/2022,TOL MOBIL DINAS  : CARINGIN,14000
"612414101/BBM ,TOL, PARKIR",15/05/2022,TOL MOBIL DINAS  : CARINGIN,14000
"612414101/BBM ,TOL, PARKIR",12/05/2022,TOL MOBIL DINAS ,7000
612415103/RETRIBUSI & KEBERSIHAN,25/04/2022,BIAYA RETRIBUSI GEDUNG UNIT LAYANAN DEPOK BULAN MEI 2022,150000
612415103/RETRIBUSI & KEBERSIHAN,13/05/2022,PEMB DANA BANTUAN KEGIATAN SOSIAL BULAN MEI 2022,100000
"612403101/TELPON,INTERNET,FASIMILI",12/05/2022,PEMB PULSA HP OPERASIONAL KEPESERTAAN,52000
612203106/BEBAN LAY PESERTA,17/05/2022,PEMB JAMUAN PESERTA ( AQUA GELAS ) KC BOGOR,800000
612203106/BEBAN LAY PESERTA,18/05/2022,PEMB JAMUAN PESERTA ( AQUA GELAS ) UNIT DEPOK,198000
612401102/BEBAN FOTOCOPY,17/05/2022,FOTOKOPI TANDA TERIMA BERKAS,120000
612401102/BEBAN FOTOCOPY,18/05/2022,FOTOKOPI FPP,180000
612413102/BEBAN PERAYAAN,18/05/2022,CETAK BANNER DONOR DARAH KEGIATAN HUT TASPEN KE-59,180000
612408102/BIAYA PEM RMH DINAS,13/05/2022,"PEMB AQUAPROOF,KUAS,STOPKONTAK RUMAH DINAS KC BOGOR",220000
612408101/BBN PEM KTR,12/05/2022,PEMB PERLENGKAPAN WASTAFEL TOILET LT.2,225000
612408101/BBN PEM KTR,17/05/2022,PEMB LAMPU NEON R. DOSIR LT 3,540000
612408101/BBN PEM KTR,24/05/2022,PEMB OBAT PEMBASMI HAMA RUMPUT LIAR TAMAN & PUPUK TANAMAN HALAMAN GEDUNG KANTOR,525000
612408101/BBN PEM KTR,24/05/2022,PEMB OBAT-OBATAN KEBERSIHAN KANTOR,1425450
612408101/BBN PEM KTR,24/05/2022,PEMB OBAT-OBATAN KEBERSIHAN KANTOR,306100
612408101/BBN PEM KTR,24/05/2022,PEMB ALAT KEBERSIHAN KANTOR,1185000
"612414101/BBM ,TOL, PARKIR",12/05/2022,BBM MOBIL DINAS ,250000
"612414101/BBM ,TOL, PARKIR",12/05/2022,BBM MOBIL DINAS ,400000
"612414101/BBM ,TOL, PARKIR",12/05/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",12/05/2022,BBM MOBIL DINAS,300000
"612414101/BBM ,TOL, PARKIR",12/05/2022,BBM MOBIL DINAS,285000
"612414101/BBM ,TOL, PARKIR",13/05/2022,BBM MOTOR DINAS,30000
"612414101/BBM ,TOL, PARKIR",17/05/2022,BBM MOBIL DINAS,10000
"612414101/BBM ,TOL, PARKIR",18/05/2022,BBM MOBIL DINAS ,100000
"612414101/BBM ,TOL, PARKIR",18/05/2022,BBM MOBIL DINAS,300000
"612414101/BBM ,TOL, PARKIR",19/05/2022,BBM MOBIL DINAS,200000
"612414101/BBM ,TOL, PARKIR",20/05/2022,BBM MOBIL DINAS ,248090
"612414101/BBM ,TOL, PARKIR",23/05/2022,BBM MOBIL DINAS,300000
"612414101/BBM ,TOL, PARKIR",23/05/2022,BBM MOTOR DINAS,10000
"612414101/BBM ,TOL, PARKIR",25/05/2022,BBM MOTOR DINAS,20000
612403103/RMH TANGGA,11/05/2022,PEMB GELAS PLASTIK,36000
612403103/RMH TANGGA,13/05/2022,PEMB BATU BATERAI,40700
612403103/RMH TANGGA,13/05/2022,PEMB STEMPEL TASPEN KC BOGOR,195000
612403103/RMH TANGGA,17/05/2022,PEMB GEMBOK GUDANG ATK,60000
612403103/RMH TANGGA,18/05/2022,PEMB FISHBOWL,46500
612403103/RMH TANGGA,19/05/2022,PEMB GAS PANTRY LT.1 KC BOGOR,195000
612403103/RMH TANGGA,19/05/2022,PEMB GELAS PLASTIK,72000
612403103/RMH TANGGA,23/05/2022,PEMB BATU BATERAI,27400
612403103/RMH TANGGA,24/05/2022,"PEMB TEH,KOPI,GULA",550950
612412101/BIAYA JAMUAN KANTOR,11/05/2022,PEMB JAMUAN INTERNAL,128000
612412101/BIAYA JAMUAN KANTOR,12/05/2022,PEMB JAMUAN INTERNAL,75000
612412101/BIAYA JAMUAN KANTOR,12/05/2022,PEMB JAMUAN INTERNAL,68999
612412101/BIAYA JAMUAN KANTOR,12/05/2022,PEMB JAMUAN INTERNAL,34500
612412101/BIAYA JAMUAN KANTOR,17/05/2022,PEMB JAMUAN INTERNAL,264000
612412101/BIAYA JAMUAN KANTOR,18/05/2022,PEMB JAMUAN KEG SOSIALIASI 19 MEI 2022,2702500
612412101/BIAYA JAMUAN KANTOR,18/05/2022,PEMB JAMUAN INTERNAL,64000
612412101/BIAYA JAMUAN KANTOR,19/05/2022,PEMB JAMUAN INTERNAL,250000
612412101/BIAYA JAMUAN KANTOR,23/05/2022,PEMB JAMUAN INTERNAL,349300
612412101/BIAYA JAMUAN KANTOR,23/05/2022,PEMB JAMUAN INTERNAL,78000
612412101/BIAYA JAMUAN KANTOR,23/05/2022,PEMB JAMUAN INTERNAL,78000
612412101/BIAYA JAMUAN KANTOR,25/05/2022,PEMB JAMUAN INTERNAL,36000
612409101/PAJAK KENDARAAN DINAS,13/05/2022,PAJAK MOBIL DINAS ,3413800
612409101/PAJAK KENDARAAN DINAS,13/05/2022,PAJAK MOBIL DINAS,4788900
612409101/PAJAK KENDARAAN DINAS,25/05/2022,PAJAK MOBIL DINAS,4828700
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,24/05/2022,"PEMB GASKET,WINDOW WIPPER,BRAKE CALLIPER,DLL MOBIL DINAS",1159174
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,24/05/2022,JASA SERVICE MOBIL DINAS,742035
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,24/05/2022,PEMB SHAMPO & PENGHARUM KENDARAAN DINAS,305200
"612414101/BBM ,TOL, PARKIR",25/05/2022,BBM MOBIL DINAS,247237
612412101/BIAYA JAMUAN KANTOR,24/05/2022,PEMB JAMUAN INTERNAL : KEG BIMUM BULAN MEI 2022 25/05/2022,460000
612412101/BIAYA JAMUAN KANTOR,26/05/2022,JAMUAN INTERNAL,122000
612409101/PAJAK KENDARAAN DINAS,27/05/2022,PAJAK KENDARAAN DINAS  ,3413800
612408101/BBN PEM KTR,21/05/2022,"PEMB AQUAPROOF,CAT,SEMEN,FIBER ATAP LT 2",126000
612408101/BBN PEM KTR,25/05/2022,PEMB PERLENGKAPAN KERAN MUSHOLA UNIT LAYANAN DEPOK,160000
612413102/BEBAN PERAYAAN,18/05/2022,JAMUAN TECHNICAL MEETING PERTANDINGAN VOLI,138000
612413102/BEBAN PERAYAAN,18/05/2022,JAMUAN TECHNICAL MEETING PERTANDINGAN VOLI,140000
612413102/BEBAN PERAYAAN,18/05/2022,JAMUAN TECHNICAL MEETING PERTANDINGAN VOLI,26000
612413102/BEBAN PERAYAAN,19/05/2022,PEMB JAMUAN TENAGA MEDIS KEGIATAN DONOR DARAH DALAM RANGKA HUT TASPEN KE-59,168000
612413102/BEBAN PERAYAAN,19/05/2022,PEMB SANCK PESERTA KEGIATAN DONOR DARAH DALAM RANGKA HUT TASPEN KE-59,1050000
612413102/BEBAN PERAYAAN,19/05/2022,HONOR TENAGA MEDIS,600000
612403103/RMH TANGGA,02/06/2022,PEMB AQUA GALON AIR MINUM KARYAWAN,274550
612403103/RMH TANGGA,02/06/2022,PEMB GAS PANTRY LT.1,195000
"612414101/BBM ,TOL, PARKIR",27/05/2022,BBM MOBIL DINAS ,100000
"612414101/BBM ,TOL, PARKIR",02/06/2022,BBM MOTOR DINAS,25000
"612414101/BBM ,TOL, PARKIR",02/06/2022,BBM MOBIL DINAS,200000
"612414101/BBM ,TOL, PARKIR",03/06/2022,BBM MOBIL DINAS,200000
612412101/BIAYA JAMUAN KANTOR,27/05/2022,JAMUAN INTERNAL,44000
612412101/BIAYA JAMUAN KANTOR,28/05/2022,JAMUAN INTERNAL,200000
612412101/BIAYA JAMUAN KANTOR,28/05/2022,JAMUAN INTERNAL,150000
612412101/BIAYA JAMUAN KANTOR,30/05/2022,JAMUAN INTERNAL,76000
612412101/BIAYA JAMUAN KANTOR,31/05/2022,JAMUAN RAPAT INTERNAL,330000
612412101/BIAYA JAMUAN KANTOR,31/05/2022,JAMUAN RAPAT INTERNAL,550000
612412101/BIAYA JAMUAN KANTOR,01/06/2022,JAMUAN INTERNAL,300000
612412101/BIAYA JAMUAN KANTOR,02/06/2022,JAMUAN INTERNAL,103000
612415103/RETRIBUSI & KEBERSIHAN,31/05/2022,RETRIBUSI KEBERSIHAN RUMAH DINAS BULAN MEI 2022,300000
612415103/RETRIBUSI & KEBERSIHAN,03/06/2022,RETRIBUSI KEBERSIHAN GEDUNG KANTOR BULAN MEI 2022,300000
612415103/RETRIBUSI & KEBERSIHAN,03/06/2022,DANA BANTUAN SOSIAL BULAN JUNI 2022,100000
612401102/BEBAN FOTOCOPY,30/05/2022,FOTOKOPI TANDA TERIMA BERKAS,120000
612401102/BEBAN FOTOCOPY,30/05/2022,FOTOKOPI FPP,180000
612401102/BEBAN FOTOCOPY,03/06/2022,JILID LAP NERACA SALDO KC BOGOR & UNIT LAY.DEPOK BULAN MEI 2022,109000
612401102/BEBAN FOTOCOPY,03/06/2022,JILID LAP KEUANGAN PKBL KC BOGOR & UNIT LAY DEPOK BULAN MEI 2022,32000
"612414101/BBM ,TOL, PARKIR",18/05/2022,BBM MOTOR DINAS ,26000
"612414101/BBM ,TOL, PARKIR",24/05/2022,BBM MOTOR DINAS ,20000
"612414101/BBM ,TOL, PARKIR",24/05/2022,BBM MOTOR DINAS ,20000
"612414101/BBM ,TOL, PARKIR",08/06/2022,TOL MOBIL DINAS   : SENTUL SLT,7000
"612414101/BBM ,TOL, PARKIR",08/06/2022,TOL MOBIL DINAS   : SENTUL BARAT,14000
"612414101/BBM ,TOL, PARKIR",08/06/2022,TOL MOBIL DINAS   : MARGONDA 2,9000
612415103/RETRIBUSI & KEBERSIHAN,01/06/2022,RETRIBUSI KEBERSIHAN KANTOR UNIT LAYANAN DEPOK BULAN JUNI 2022,150000
612401102/BEBAN FOTOCOPY,13/06/2022,FOTOKOPI TANDA TERIMA BERKAS & FPP,270000
612408101/BBN PEM KTR,24/05/2022,PEMB ALAT KEBERSIHAN UNIT LAYANAN DEPOK,120000
612403103/RMH TANGGA,31/05/2022,PEMB AQUA GALON AIR MINUM KARYAWAN UNIT LAYANAN DEPOK,190000
612403103/RMH TANGGA,31/05/2022,PEMB AQUA GALON AIR MINUM KARYAWAN UNIT LAYANAN DEPOK,266000
612403103/RMH TANGGA,09/06/2022,PEMB MATERAI,500000
612403103/RMH TANGGA,13/06/2022,PEMB AQUA GALON AIR MINUM KARYAWAN KC BOGOR,258400
612403103/RMH TANGGA,06/06/2022,PEMB OBAT P3K LT.1,20396
612403103/RMH TANGGA,06/06/2022,PEMB ICEBAG PERLENGKAPAN P3K KANTOR,45470
612403103/RMH TANGGA,13/06/2022,PEMB PLASTIK PENUTUP BARANG-BARANG RUMAH DINAS UNIT LAYANAN DEPOK,338000
612408102/BIAYA PEM RMH DINAS,09/06/2022,PEMB AKI GENSET RUMAH DINAS KC BOGOR,765000
612408102/BIAYA PEM RMH DINAS,10/06/2022,PEMB PENEBANGAN POHON RUMAH DINAS KC BOGOR,400000
612412101/BIAYA JAMUAN KANTOR,31/05/2022,JAMUAN INTERNAL,138050
612412101/BIAYA JAMUAN KANTOR,03/06/2022,JAMUAN INTERNAL,175000
612408104/PEM INV KTR,06/06/2022,PEMB AIR AKI GENSET,16000
"612403101/TELPON,INTERNET,FASIMILI",06/06/2022,PEMB PULSA AO KC BOGOR BULAN JUNI 2022,250000
"612403101/TELPON,INTERNET,FASIMILI",06/06/2022,PEMB PULSA AO UNIT LAYANAN DEPOK BULAN JUNI 2022,250000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,13/06/2022,CETAK BANNER PUBILKASI MEDIA LUAR RUANG PEMDA & INSTANSI WILAYAH KERJA TASPEN UNIT LAYANAN DEPOK,650000
"612414101/BBM ,TOL, PARKIR",03/06/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",03/06/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",06/06/2022,BBM GENSET KC BOGOR,230000
"612414101/BBM ,TOL, PARKIR",06/06/2022,BBM MOTOR DINAS,20000
"612414101/BBM ,TOL, PARKIR",06/06/2022,BBM MOBIL DINAS,500000
"612414101/BBM ,TOL, PARKIR",06/06/2022,BBM MOBIL DINAS,500000
"612414101/BBM ,TOL, PARKIR",06/06/2022,BBM MOBIL DINAS,400000
"612414101/BBM ,TOL, PARKIR",06/06/2022,BBM MOBIL DINAS ,400000
"612414101/BBM ,TOL, PARKIR",08/06/2022,BBM MOTOR DINAS,34075
"612414101/BBM ,TOL, PARKIR",10/06/2022,BBM MOBIL DINAS,250000
"612414101/BBM ,TOL, PARKIR",10/06/2022,BBM GENSET UNIT LAYANAN DEPOK,400000
